user_id,location_city,location_state,location_country,fix_age
8,0,0,0,10.0
11400,1,0,0,50.0
11676,2,1,1,10.0
67544,3,0,0,35.0
85526,4,2,0,40.0
96054,1,0,0,30.0
116866,1,0,0,10.0
123629,5,0,0,10.0
177458,1,0,0,30.0
200273,6,0,0,10.0
210926,7,0,0,10.0
219008,8,3,0,100.0
263325,9,4,0,30.0
2954,10,5,2,100.0
152827,1,0,0,50.0
35704,11,6,2,100.0
83160,12,7,2,100.0
110912,13,8,2,40.0
137688,14,9,2,50.0
157969,15,10,2,35.0
192665,16,8,2,50.0
197659,17,11,2,50.0
208059,18,12,2,10.0
209163,19,13,2,10.0
29526,20,14,2,30.0
36836,21,15,2,100.0
46398,22,16,2,40.0
49300,23,10,2,10.0
49635,24,17,2,10.0
67958,25,18,2,40.0
113270,26,19,2,30.0
113519,27,8,2,10.0
115097,24,17,2,30.0
136509,28,8,2,35.0
148712,29,20,2,10.0
178269,30,8,2,10.0
180297,31,21,2,50.0
188589,32,22,3,30.0
194722,33,16,2,10.0
198013,34,23,2,10.0
200674,35,6,2,100.0
207148,36,8,2,50.0
211919,37,24,2,40.0
212449,38,16,2,10.0
213191,36,8,2,10.0
230522,39,10,2,100.0
236322,40,16,2,10.0
238557,41,25,3,30.0
242247,42,21,2,50.0
245827,43,26,2,10.0
248583,44,2,0,10.0
252282,45,17,2,50.0
252921,46,17,2,30.0
255661,47,10,2,35.0
52614,48,27,2,35.0
225910,49,11,2,20.0
274634,50,28,2,35.0
98499,3,0,0,10.0
166596,51,2,0,100.0
189238,52,29,4,10.0
223066,1,0,0,100.0
92861,44,2,0,10.0
3363,20,14,2,30.0
61501,0,0,0,10.0
148514,53,8,2,10.0
174304,54,6,2,30.0
177090,55,6,2,40.0
256233,56,30,2,10.0
263256,20,14,2,10.0
176875,57,31,5,35.0
213915,58,32,6,30.0
35826,59,33,2,10.0
226745,60,16,2,40.0
9,61,14,2,10.0
243,62,34,2,10.0
388,63,14,2,40.0
2977,64,17,2,30.0
3329,65,23,2,10.0
6795,66,7,2,35.0
7346,67,8,2,50.0
7352,40,16,2,100.0
9419,68,16,2,10.0
9747,69,6,2,10.0
9856,70,8,2,30.0
11224,71,17,2,100.0
12685,72,15,2,10.0
12923,73,35,2,40.0
13552,74,14,2,35.0
13582,75,36,7,30.0
14521,76,37,2,10.0
16666,77,14,2,10.0
16795,78,38,2,50.0
17761,79,21,2,10.0
19445,80,9,2,10.0
20435,81,39,2,100.0
20462,82,40,2,10.0
20801,83,41,8,30.0
20916,84,42,2,10.0
21264,85,43,2,35.0
23511,86,15,2,100.0
23768,54,6,2,50.0
26240,87,8,2,10.0
26544,88,30,2,40.0
26593,89,19,2,10.0
27684,90,11,2,10.0
28123,91,44,2,10.0
28619,92,45,2,10.0
29654,93,46,9,50.0
30487,94,8,2,50.0
30533,95,33,2,10.0
31299,96,11,2,100.0
31315,97,44,2,35.0
31556,98,8,2,100.0
31560,95,33,2,10.0
31694,98,8,2,10.0
32516,99,40,2,50.0
35857,100,13,2,40.0
35859,101,34,2,10.0
36606,102,8,2,40.0
37874,103,30,2,50.0
38718,104,7,2,10.0
38991,105,16,2,100.0
39345,37,24,2,50.0
39646,106,11,2,40.0
40889,107,34,2,40.0
41781,108,21,2,100.0
44663,32,22,3,10.0
45585,36,8,2,10.0
46389,109,15,2,100.0
46767,110,47,9,30.0
47971,3,0,0,50.0
48268,111,48,10,20.0
48911,112,40,2,100.0
49168,113,49,2,100.0
49994,114,50,2,50.0
52584,115,8,2,50.0
52994,116,8,2,10.0
54005,117,17,2,100.0
54884,118,51,2,35.0
55027,119,0,0,50.0
55492,120,19,2,50.0
57108,121,9,2,40.0
57423,122,7,2,10.0
57632,123,16,2,10.0
59038,22,16,2,30.0
59390,124,11,2,10.0
60130,125,52,2,50.0
60569,126,13,2,50.0
60683,92,45,2,50.0
62667,127,30,2,100.0
62881,128,50,2,40.0
63470,129,53,2,100.0
64535,130,30,2,50.0
64679,131,19,2,10.0
66387,132,44,2,100.0
67487,133,54,11,35.0
68256,134,55,2,30.0
68537,135,16,2,100.0
69232,136,15,2,100.0
70205,137,8,2,10.0
